date,weekday_tr,Mahalle,crane_needed,garbage_truck_type,days_collected_per_week,collection_frequency
2025-12-25,Perşembe,ESENTEPE MAHALLESİ,0,Small Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday"
2025-12-25,Perşembe,FADILLI MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-25,Perşembe,FETHİYE MAHALLESİ,0,Large Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday"
2025-12-25,Perşembe,GÖRÜKLE MAHALLESİ,0,Large Garbage Truck,7.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday, Sunday"
2025-12-25,Perşembe,GÜMÜŞTEPE MAHALLESİ,0,Small Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday"
2025-12-25,Perşembe,GÜNGÖREN MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-25,Perşembe,HASANAĞA MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-25,Perşembe,İHSANİYE MAHALLESİ,1,Large Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday"
2025-12-25,Perşembe,KIZILCIKLI MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-25,Perşembe,KONAK MAHALLESİ,0,Large Garbage Truck,6.0,"Monday , Thursday, Wednesday, Thursday, Friday, Saturday"
2025-12-25,Perşembe,KORUBAŞI MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-25,Perşembe,KURTULUŞ MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-25,Perşembe,KURUÇEŞME MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-25,Perşembe,KÜLTÜR MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-25,Perşembe,KÜLTÜR MAHALLESİ,0,Small Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-25,Perşembe,MAKSEMPINAR MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
2025-12-25,Perşembe,MİNARELİÇAVUŞ MAHALLESİ,0,Large Garbage Truck,3.0,"Tuesday, Thursday, Saturday"
